sid,tomato,cabbage,eggplant,greens,peppers,pulses,onion,nuts,banana,melon,passion,taro,potato,onion,beans,cane,sunflower,papaya,pineapple,rice
ef3c425a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef9613e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf65a58d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ff64ce5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3eec13b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15dc4266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96b188ea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f8424bce,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f574df51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0d1f26d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d609026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b832cb1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9745ecdb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec75470c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcd469a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c61816c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6297d4b5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729682e8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2afc9310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d0db495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd5f6751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434eec92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bce9b8b6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc64c77c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5ee1a4f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8613e859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ef7c781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23d3bd14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ed740fb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6f6cf975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0e1e1c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d47ddbd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1cc231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b807e96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd0beba0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89d8994e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8aae6696,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7c799b90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0442aa47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5831820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257b973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e976f3bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69bf6131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27d702a2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7de895c2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
