sid,lon,lat,date,s2,s3,ir0,ir1,ir2,ws1,ws2
ef3c425a,32.9361221,0.349935,2023-01-09 09:59:44.212000+03:00,8,20,irrigated,no,,no,
ef9613e2,34.0299567,1.3534706,2023-01-09 10:36:19.550000+03:00,35,55,irrigated,yes,pump_manual,yes,borehole
bf65a58d,30.6353114,0.6021781,2023-01-09 10:36:51.585000+03:00,6,14,irrigated,yes,green_crops_ds,yes,surface_water
9ff64ce5,30.6021592,0.6018486,2023-01-09 10:47:09.763000+03:00,20,35,both_irrigated_non-irrigated,yes,furrows_canals,no,
d3eec13b,32.9305567,0.4315883,2023-01-09 10:51:14.305000+03:00,40,60,irrigated,yes,tank pump_manual,no,
15dc4266,32.9428763,0.3447024,2023-01-09 10:55:42.601000+03:00,10,15,irrigated,yes,green_crops_ds,no,
96b188ea,32.9426918,0.3447047,2023-01-09 11:03:06.622000+03:00,2.5,5,irrigated,yes,green_crops_ds,no,
f8424bce,34.020944,1.3587604,2023-01-09 11:03:09.635000+03:00,15,50,irrigated,yes,green_crops_ds,yes,shallow_well
f574df51,32.9289305,0.4320224,2023-01-09 11:05:11.222000+03:00,12,30,both_irrigated_non-irrigated,yes,green_crops_ds,no,
b0d1f26d,34.0207856,1.3590128,2023-01-09 11:07:46.461000+03:00,20,40,irrigated,yes,green_crops_ds,yes,shallow_well
6d609026,32.9289461,0.4319812,2023-01-09 11:08:29.064000+03:00,15,30,both_irrigated_non-irrigated,yes,green_crops_ds,no,
4b832cb1,32.941915,0.3441033,2023-01-09 11:15:10.791000+03:00,15,20,irrigated,yes,green_crops_ds,no,
9745ecdb,32.927565,0.429592,2023-01-09 11:22:29.095000+03:00,25,35,both_irrigated_non-irrigated,yes,green_crops_ds,no,
ec75470c,32.9416086,0.3428864,2023-01-09 11:22:47.294000+03:00,20,50,irrigated,yes,green_crops_ds,no,
dcd469a1,34.0208748,1.358722,2023-01-09 11:33:53.147000+03:00,15,20,irrigated,yes,green_crops_ds,yes,shallow_well
5c61816c,34.0274409,1.3485863,2023-01-09 11:43:55.189000+03:00,35,55,irrigated,no,,no,
6297d4b5,34.2659733,0.67625,2023-01-09 11:51:14.855000+03:00,40,140,irrigated,yes,pump_manual,no,
729682e8,34.2656766,0.6760769,2023-01-09 11:57:23.849000+03:00,25,140,irrigated,yes,pump_manual irrig_ev_struct_equip_oth,no,
2afc9310,30.5901071,0.6331239,2023-01-09 12:09:41.056000+03:00,10,18,non-irrigated,no,,no,
7d0db495,30.5945676,0.6332006,2023-01-09 12:20:40.284000+03:00,15,35,both_irrigated_non-irrigated,yes,furrows_canals,yes,surface_water
bd5f6751,32.9425421,0.3435816,2023-01-09 12:25:26.605000+03:00,10,70,irrigated,yes,green_crops_ds,no,
434eec92,34.05384,1.3330317,2023-01-09 12:26:31.349000+03:00,30,45,non-irrigated,yes,irrig_ev_struct_equip_oth tank,yes,shallow_well
bce9b8b6,30.5940151,0.6330981,2023-01-09 12:32:32.861000+03:00,5,35,both_irrigated_non-irrigated,yes,wet_ground_ds,no,
dc64c77c,32.9432356,0.3451552,2023-01-09 12:50:19.885000+03:00,8,12,irrigated,yes,green_crops_ds,no,
d5ee1a4f,30.657879,0.5894176,2023-01-09 12:55:42.036000+03:00,20,34,irrigated,yes,green_crops_ds,no,
8613e859,32.9435511,0.3448253,2023-01-09 12:55:43.647000+03:00,10,12,irrigated,yes,green_crops_ds,yes,borehole
6ef7c781,34.2590283,0.6838,2023-01-09 12:56:15.769000+03:00,20,75,non-irrigated,yes,furrows_canals,yes,shallow_well
23d3bd14,34.2589925,0.6839445,2023-01-09 13:00:01.976000+03:00,30,80,non-irrigated,yes,furrows_canals,yes,shallow_well
7ed740fb,34.2590965,0.6840933,2023-01-09 13:03:38.514000+03:00,20,25,non-irrigated,yes,furrows_canals,yes,shallow_well
6f6cf975,30.6612586,0.5870891,2023-01-09 13:03:43.566000+03:00,6,8,non-irrigated,no,,no,
d0e1e1c7,30.6614415,0.5868353,2023-01-09 13:13:09.563000+03:00,7,30,non-irrigated,no,,no,
9d47ddbd,34.0140492,1.3482308,2023-01-09 13:20:08.827000+03:00,10,25,irrigated,yes,green_crops_ds,yes,shallow_well
1a1cc231,31.8030817,3.3972667,2023-01-09 13:20:35.192000+03:00,25,35,irrigated,no,,no,
1b807e96,31.802837,3.3971725,2023-01-09 13:26:14.314000+03:00,18,25,both_irrigated_non-irrigated,no,,no,
dd0beba0,34.0146773,1.3488854,2023-01-09 13:27:25.175000+03:00,20,35,irrigated,yes,green_crops_ds,yes,shallow_well
89d8994e,30.6155626,0.6278669,2023-01-09 13:43:14.723000+03:00,5,25,both_irrigated_non-irrigated,no,,no,
8aae6696,30.6156456,0.6278044,2023-01-09 13:46:09.043000+03:00,30,60,both_irrigated_non-irrigated,no,,yes,tap_piped_water
7c799b90,34.2552817,0.6998217,2023-01-09 14:08:24.969000+03:00,25,55,non-irrigated,yes,furrows_canals,yes,shallow_well
0442aa47,34.2556841,0.6996953,2023-01-09 14:11:57.127000+03:00,35,40,non-irrigated,yes,furrows_canals,yes,shallow_well
e5831820,34.255619,0.6997589,2023-01-09 14:15:25.456000+03:00,35,55,non-irrigated,yes,furrows_canals,yes,shallow_well
4257b973,34.2558767,0.6993917,2023-01-09 14:20:19.073000+03:00,20,55,non-irrigated,yes,wet_ground_ds furrows_canals,yes,shallow_well
e976f3bc,34.2558824,0.6993716,2023-01-09 14:23:29.530000+03:00,30,70,non-irrigated,yes,wet_ground_ds furrows_canals,yes,shallow_well
69bf6131,32.93324,0.4173133,2023-01-09 14:31:57.943000+03:00,15,60,both_irrigated_non-irrigated,no,,no,
27d702a2,30.6168719,0.6208595,2023-01-09 14:36:06.696000+03:00,20,60,both_irrigated_non-irrigated,no,,no,
7de895c2,30.6168676,0.6208737,2023-01-09 14:38:47.257000+03:00,30,80,both_irrigated_non-irrigated,no,,no,
1f21168b,34.0721767,1.3288933,2023-01-09 14:45:07.968000+03:00,13,35,non-irrigated,yes,tank,yes,tap_piped_water shallow_well
3add9f99,30.6181905,0.6206682,2023-01-09 14:49:56.739000+03:00,20,50,both_irrigated_non-irrigated,no,,no,
8a2fbdd4,32.9383467,0.4182933,2023-01-09 14:59:15.736000+03:00,12,20,both_irrigated_non-irrigated,yes,green_crops_ds,no,
d5de23f2,34.0288814,1.3408961,2023-01-09 15:45:56.419000+03:00,10,20,irrigated,yes,green_crops_ds,no,
2d5c3064,34.0281186,1.333661,2023-01-09 15:58:37.373000+03:00,20,60,irrigated,yes,furrows_canals,yes,shallow_well
12709cd4,31.84618,3.4143567,2023-01-09 16:01:18.660000+03:00,15,20,irrigated,no,,no,
8ff2772b,34.0290252,1.3383958,2023-01-09 16:11:01.985000+03:00,20,55,irrigated,no,,no,
502f8705,30.6657517,0.6037431,2023-01-09 16:16:00.254000+03:00,5,12,irrigated,no,,no,
7f7039cd,34.2793152,0.7458188,2023-01-09 16:36:43.541000+03:00,20,60,irrigated,yes,green_crops_ds water_lines,yes,tap_piped_water
c7b2a89d,34.0925268,1.3949218,2023-01-09 16:42:36.945000+03:00,25,40,non-irrigated,yes,drip_irrigation_equip water_lines pump_fuel tank,yes,shallow_well
9c6cc0c3,34.2799533,0.7421467,2023-01-09 16:47:22.892000+03:00,30,60,irrigated,yes,wet_ground_ds furrows_canals,yes,shallow_well
23b904a4,34.2801967,0.7417417,2023-01-09 16:51:09.388000+03:00,30,60,irrigated,yes,furrows_canals wet_ground_ds,yes,shallow_well
b780240b,34.092695,1.3947533,2023-01-09 16:51:42.815000+03:00,18,50,non-irrigated,yes,green_crops_ds drip_irrigation_equip water_lines pump_fuel tank,yes,shallow_well
957e4774,34.2802533,0.742185,2023-01-09 16:54:44.312000+03:00,20,60,irrigated,yes,wet_ground_ds green_crops_ds furrows_canals,yes,shallow_well
7ee4b82c,34.0932667,1.3946167,2023-01-09 16:57:33.638000+03:00,150,300,non-irrigated,yes,water_lines drip_irrigation_equip tank pump_fuel green_crops_ds,yes,shallow_well
7c727fc1,34.0003983,1.3395087,2023-01-09 17:16:29.985000+03:00,7,20,irrigated,yes,green_crops_ds,yes,borehole
0785873a,34.0019137,1.3401852,2023-01-09 18:11:06.841000+03:00,10,30,non-irrigated,no,,yes,borehole
a8fa541b,34.0813382,1.3622709,2023-01-09 18:35:06.100000+03:00,18,25,irrigated,yes,irrig_ev_struct_equip_oth,no,
b5898412,34.0811509,1.3627212,2023-01-09 18:40:54.185000+03:00,20,25,irrigated,yes,irrig_ev_struct_equip_oth,no,
195b3d45,34.0333555,1.3050593,2023-01-10 08:45:53.673000+03:00,20,60,irrigated,no,,no,
21a7c381,34.033355,1.3050583,2023-01-10 08:52:01.611000+03:00,10,60,both_irrigated_non-irrigated,no,,no,
57da15a2,34.0330683,1.3051867,2023-01-10 08:59:06.914000+03:00,10,45,irrigated,yes,pump_manual,no,
35f7671a,34.031805,1.3026467,2023-01-10 09:10:30.590000+03:00,15,50,irrigated,yes,pump_manual,yes,shallow_well
abe893d5,34.25628,0.7221383,2023-01-10 09:52:04.003000+03:00,20,60,irrigated,yes,green_crops_ds wet_ground_ds pump_manual,no,
6ebe7647,34.2540017,0.7319233,2023-01-10 10:14:44.900000+03:00,40,60,non-irrigated,yes,drip_irrigation_equip water_lines pump_slr tank,yes,shallow_well harvested_water
82409d1b,31.7805417,3.3949178,2023-01-10 10:18:24.633000+03:00,8,35,both_irrigated_non-irrigated,no,,no,
5c02920c,31.7801229,3.395019,2023-01-10 10:21:23.827000+03:00,10,35,irrigated,no,,no,
b34bcd36,33.0937899,0.6529504,2023-01-10 10:28:18.208000+03:00,20,25,irrigated,no,,no,
c62eeee3,33.1145997,0.621188,2023-01-10 10:34:28.414000+03:00,10,22,irrigated,no,,no,
8dd17662,33.0927235,0.6546041,2023-01-10 10:35:15.565000+03:00,25,55,irrigated,no,,no,
9ac730fe,34.0281733,1.3071272,2023-01-10 10:37:46.832000+03:00,30,125,irrigated,yes,pump_manual,no,
9380abbe,34.2551845,0.7296144,2023-01-10 10:38:09.572000+03:00,20,40,non-irrigated,yes,wet_ground_ds furrows_canals green_crops_ds,yes,surface_water shallow_well
50d4d21d,33.1146936,0.6213374,2023-01-10 10:39:00.683000+03:00,10,10,irrigated,no,,no,
25f2f94a,33.0936316,0.6591715,2023-01-10 10:39:39.334000+03:00,20,65,irrigated,yes,wet_ground_ds pump_manual,yes,surface_water
db6c645e,33.1128397,0.6230109,2023-01-10 10:50:47.794000+03:00,8,10,irrigated,no,,yes,surface_water
57f80f53,34.2110552,0.7224145,2023-01-10 10:52:39.388000+03:00,10,15,irrigated,yes,wet_ground_ds green_crops_ds,yes,shallow_well surface_water
f60078e4,34.2530128,0.7322883,2023-01-10 10:54:06.314000+03:00,15,30,irrigated,yes,green_crops_ds wet_ground_ds,no,
bc944e2c,33.1128557,0.6232129,2023-01-10 10:54:30.745000+03:00,6,8,irrigated,no,,yes,surface_water
d81e95ad,34.210847,0.7224808,2023-01-10 10:55:44.125000+03:00,10,15,irrigated,yes,wet_ground_ds green_crops_ds,yes,shallow_well surface_water
7d442fad,34.2107401,0.7225514,2023-01-10 10:59:11.007000+03:00,15,30,irrigated,yes,wet_ground_ds green_crops_ds,yes,shallow_well surface_water
d4ba49e6,33.1123165,0.6220165,2023-01-10 11:00:35.022000+03:00,8,10,,no,,yes,surface_water
e96c6f62,34.2113694,0.7220074,2023-01-10 11:04:06.323000+03:00,20,30,irrigated,yes,green_crops_ds wet_ground_ds,yes,shallow_well surface_water
e7c0b91f,31.7807095,3.3961803,2023-01-10 11:05:37.711000+03:00,35,70,both_irrigated_non-irrigated,no,,no,
dca3331e,34.2113683,0.72201,2023-01-10 11:06:59.280000+03:00,15,70,both_irrigated_non-irrigated,yes,wet_ground_ds green_crops_ds,yes,shallow_well
6bfdd4bb,33.0950077,0.6601302,2023-01-10 11:07:40.170000+03:00,35,100,both_irrigated_non-irrigated,yes,furrows_canals,yes,surface_water
